,name,income,expend
133219,One Can Trust,24931.0,22183.0
38157,The Llanddarog and District Agricultural Show Society,24636.0,23101.0
7436,Hawkshead Agricultural Society,24292.0,20500.0
120195,The Dukies Foundation,24118.0,91694.0
67940,Collingham and District Agricultural Society,23880.0,17345.0
77772,The National Retail Planning Forum,23468.0,15665.0
16243,The British Association for Applied Linguistics,22939.0,32582.0
119525,Mujtaba Welfare Trust,22700.0,22152.0
130784,Resource for Future,22500.0,18500.0
132453,Usmania Welfare Trust,20576.0,10746.0
116451,The Snooky Trust,20318.0,20610.0
12072,The Arthington Bramhope Pool and District Horticultural and Agricultural Society,19941.0,19360.0
38029,Borrowby Agricultural and Horticultural Society,19433.0,16767.0
122051,'Mother Teresa' Albanian Union,18593.0,13576.0
68740,The Manifold Valley Agricultural Society,18529.0,14484.0
24084,International Federation of Hydrographic Societies,18402.0,32288.0
128466,Dereham Community Support Centre,18180.0,17656.0
129390,The Brizen Young People's Centre,18052.0,14878.0
126587,Sheffield Chinese Culture Exchange Community,18000.0,18000.0
124720,Love Zimbabwe,17835.0,7830.0
117221,Health Exchange Nepal (Uk),17614.0,20544.0
134245,Friends of Attend Abi (Faabi),17371.0,6548.0
124350,Hetton New Dawn Group,17287.0,14323.0
3884,The College of Fellows of the Institute of Trading Standards Administration,17066.0,15265.0
121087,Brighton Voices in Exile,16969.0,21217.0
45324,"Farndale Agricultural, Horticultural and Industrial Society",16803.0,12123.0
103929,National Association for Palliative Care Educators (Napce),16715.0,2153.0
124710,Kilburn Older Voices Exchange,16613.0,15417.0
136256,CSS Charitable Trust,16606.0,7396.0
125183,Oasis Community Project East Hastings,16595.0,10041.0
132133,Supported Activities for Everyone,16533.0,15581.0
76011,Millom and Broughton Agricultural Society Ltd,16363.0,15640.0
134643,Robert Dickie Charitable Trust,16320.0,8551.0
122285,Community Empowerment Support Organisation Limited,16064.0,18192.0
121302,Darul Uloom Kubajpur,15851.0,16200.0
89482,Dufton Agricultural Society,15624.0,13745.0
134149,Hampton Park Pavilion,15533.0,12653.0
42456,The Alrewas and District Agricultural and Horticultural Society,15333.0,14388.0
117761,Afro-Innovation Group,14524.0,13462.0
134900,Kie Park,14354.0,0.0
131830,Cronfa Genedlaethol Wiliam Salesbury,14341.0,480.0
70196,Association of Stoma Care Nurses UK,13998.0,29165.0
75846,Association of Guyanese Nurses and Allied Professionals,13898.0,11772.0
10371,Gravesend and Rochester Agricultural Association,13888.0,13338.0
120332,Maisons Du Monde,13868.0,13868.0
132667,Cornwall Community Accountancy Service,13810.0,13485.0
53626,Association of Teachers of Lipreading to Adults,13637.0,22076.0
133863,Gift a Charity,13614.0,9164.0
128204,Adventure Centre Wyken,13468.0,14822.0
77958,Yealmpton Agricultural Association,13432.0,3876.0
129416,The Goboka Rwanda Trust,13432.0,18353.0
129152,The Centre of Light Ltd,13411.0,6550.0
122788,St Peters Ipc Trust Corporation,13188.0,38705.0
134415,Carers Worldwide,13017.0,30883.0
132797,Dalwood Recreation Trust,12847.0,19665.0
131827,Rame Community Fund,12576.0,11076.0
129182,Triquetra Trust Limited,12328.0,2189.0
134167,Tamang Samaj UK Ltd,12176.0,8900.0
116353,The Saffron Trust,12038.0,11060.0
121820,Napra Area Link,12012.0,12980.0
135022,Tenbury Nils Scheme,11926.0,8409.0
127320,Pungudutivu Welfare Association (U.k.),11882.0,12146.0
123292,The Shadhdhuliyya Trust,11800.0,12494.0
122125,Ace - Friends of St Ives Corn Exchange,11784.0,5161.0
134520,Headrow Money Line,11686.0,10151.0
120419,Play for Elham,11567.0,9931.0
131104,MK Money Lifeline,11515.0,11899.0
134397,Right Step,11348.0,10855.0
38576,Carnbrea Endowment Fund,10958.0,8594.0
136488,Rampaig,10610.0,0.0
128460,Quantum Meditation Ltd,10594.0,913.0
117161,Otterhampton Parish Recreation Association,10364.0,8846.0
128244,Norton Community Trust,10348.0,10702.0
87313,Aberystwyth Business Club/CLWB Busnes Aberystwyth,10241.0,8646.0
127938,Friends in Need,10140.0,10177.0
